q,hq,hq_stderr
-5.0,7.593162223623036,1.208813443218349
-4.5,7.571673341730364,1.2053503920998732
-4.0,7.543831972600939,1.2005902921919278
-3.5,7.506331639626271,1.193872387155622
-3.0,7.453434833006095,1.184083905322582
-2.5,7.374737177253645,1.1692369171004569
-2.0,7.250234454277878,1.145443710136075
-1.5,7.036846857172482,1.1039166895701544
-1.0,6.614765206965194,1.019238407918174
-0.5,5.389442328523598,0.7717459815997303
0.0,0.8424132208026678,0.015895174876806445
0.5,0.8072768272927582,0.0051236789011224046
1.0,0.8182425213147687,0.005944427830001435
1.5,0.7963918690007997,0.00765649973780861
2.0,0.7544351481582319,0.009448684243994214
2.5,0.7059991361093602,0.011291270340756185
3.0,0.6605936857091887,0.013072615222879955
3.5,0.6218439574623786,0.014650669697222165
4.0,0.589854966623135,0.015984993463696376
4.5,0.5635783256319912,0.017096959543325085
5.0,0.541854167493956,0.018024863126764993
