lag,acf
0,1.0
1,0.8536312450773027
2,0.7917652363101232
3,0.7595094784897296
4,0.7433139302062876
5,0.7356750623229872
6,0.7293269164498155
7,0.7283275017133858
8,0.7280849616153423
9,0.7262186381724379
10,0.7236075315754223
11,0.718299754234004
12,0.7150003910825746
13,0.7112598836372281
14,0.7121591597139819
15,0.7033615061523946
16,0.7021948281581096
17,0.7020974665849573
18,0.7035128239107573
19,0.7028080095452133
20,0.6999965670026711
21,0.7020724834851185
22,0.70257350037861
23,0.6996901796296068
24,0.6970652262241691
25,0.6969492547299072
26,0.6976151506126967
27,0.6968992938806705
28,0.7018813138996902
29,0.69948076072088
30,0.6981221015849166
31,0.7005457285834269
32,0.7037048327891039
33,0.7012145580191915
34,0.6963950742808371
35,0.6943448401106365
36,0.6922062686520841
37,0.6910975091220901
38,0.6881771210819769
39,0.6874445059195423
40,0.691112867835212
41,0.6902646567353774
42,0.6893916600243994
43,0.6889078670755455
44,0.6908690654473034
45,0.6916556876206559
46,0.6882097052570297
47,0.6866895969018334
48,0.6869241196528224
49,0.6902025696272339
50,0.6919730562535369
51,0.6931820490704588
52,0.6922373511978033
53,0.690701023108393
54,0.6921351506328929
55,0.6888153752216374
56,0.6896658655171832
57,0.6902352142970375
58,0.6927326313228246
59,0.6959615873368938
60,0.6976087033436473
61,0.6972799730155487
62,0.6943336787382564
63,0.6943801641555156
64,0.6913107272635851
65,0.6909159704122307
66,0.6879173815135781
67,0.6880659625875383
68,0.6899696794355809
69,0.689408098075089
70,0.6925265773267922
71,0.6914702141737771
72,0.696381107399117
73,0.6922976262485782
74,0.6906654100833818
75,0.6901067498794993
76,0.6962145451920283
77,0.6974899279917592
78,0.6952461702369568
79,0.699338045943126
80,0.6986444228788885
81,0.6952293794601818
82,0.6915210897259638
83,0.6900553138975992
84,0.689332226768682
85,0.6849306009223786
86,0.6862910289970914
87,0.6861731894095715
88,0.6858632705410403
89,0.686549130564951
90,0.6854573556621342
91,0.6873666642975895
92,0.6876431662225635
93,0.68898180694005
94,0.6831325337940319
95,0.6824672069892321
96,0.6835115110125475
97,0.682338226141354
98,0.6841144815998537
99,0.6807475871268271
100,0.680900258970781
101,0.682442314930577
102,0.6857185877639532
103,0.6825325774897099
104,0.6845702496704561
105,0.6871540001074211
106,0.6846103797902131
107,0.6845920309831323
108,0.6839170234290691
109,0.6797313073862654
110,0.6788907637885344
111,0.6798889436207322
112,0.681782975938589
113,0.6804326998810704
114,0.6815456992503022
115,0.6836995831619503
116,0.6865592656913562
117,0.691856611169787
118,0.6899654966913116
119,0.6875064468992904
120,0.6856569969579582
121,0.685892231669003
122,0.6861979696537452
123,0.6809451463863618
124,0.6797206479024819
125,0.677502137193073
126,0.6778335762602514
127,0.6787446858982671
128,0.6809602080228028
129,0.6814375582876807
130,0.6826961223268891
131,0.6808296502784342
132,0.6810223355576923
133,0.6824735100122628
134,0.6802487049253712
135,0.6830503784129964
136,0.6847698097314238
137,0.6865911897445067
138,0.6851639182782724
139,0.6836496542090743
140,0.6833571361955437
141,0.6831294524063531
142,0.6821722016151728
143,0.6794723659956557
144,0.6791816202381028
145,0.6811901862246583
146,0.680487466313778
147,0.6793491355390583
148,0.6774234660954656
149,0.6765116035355833
150,0.6790554690885896
151,0.6785973451666539
152,0.6778718642345563
153,0.6768725418837587
154,0.6781993340809325
155,0.6771746196954761
156,0.6750053223378648
157,0.6745045598855216
158,0.6745389595722074
159,0.6766342112513657
160,0.6799295367001288
